Year,Month,Imports,logImports,dlogImports,c348,s348,c432,s432
1989,1,788.9,6.6706395701,-0.036467235,-0.577572703,0.8163392507,-0.910105971,0.414375581
1989,2,798.1,6.6822339029,0.0115943328,-0.332819545,-0.942990536,0.6565857558,-0.754251381
1989,3,667.3,6.5032397199,-0.178994183,0.9620276716,0.2729519355,-0.285019262,0.958521789
1989,4,728.5,6.5909876256,0.0877479057,-0.778462302,0.6276913613,-0.137790291,-0.990461426
1989,5,937.9,6.8436433335,0.2526557079,-0.06279052,-0.998026728,0.535826795,0.8443279255
1989,6,1021.7,6.9292231856,0.0855798521,0.8509944818,0.52517463,-0.83752804,-0.546394347
1989,7,1162.7,7.0585001657,0.1292769801,-0.920231847,0.3913736668,0.9886517447,0.1502255891
1989,8,1279.6,7.1543028081,0.0958026424,0.2120071099,-0.977268124,-0.962027672,0.2729519355
1989,9,1179.3,7.0726763211,-0.081626487,0.6753328081,0.7375131174,0.762442511,-0.647055962
1989,10,1340.4,7.2007233559,0.1280470348,-0.992114701,0.1253332336,-0.425779292,0.9048270525
1989,11,1133.8,7.0333301019,-0.167393254,0.4707039322,-0.882291226,0.0125660399,-0.999921044
1989,12,951.5,6.8580396867,-0.175290415,0.4483832161,0.8938414242,0.4029064357,0.9152411726
1990,1,1186.1,7.078425893,0.2203862063,-0.988651745,-0.150225589,-0.745941145,-0.666011867
1990,2,993.8,6.9015359792,-0.176889914,0.6936533058,-0.720309025,0.9548645447,0.2970415816
1990,3,931,6.8362592773,-0.065276702,0.1873813146,0.9822872507,-0.992114701,0.1253332336
1990,4,996.4,6.9041487834,0.0678895061,-0.910105971,-0.414375581,0.8509944818,-0.52517463
1990,5,1173.5,7.0677460153,0.1635972319,0.8639234172,-0.503623202,-0.556875616,0.8305958992
1990,6,1317.2,7.1832635505,0.1155175352,-0.087851197,0.9961336091,0.1626371652,-0.986685944
1990,7,1492.5,7.3082078453,0.1249442948,-0.762442511,-0.647055962,0.2608415063,0.9653816388
1990,8,1568.6,7.3579387808,0.0497309355,0.9685831611,-0.248689887,-0.63742399,-0.770513243
1990,9,1432.1,7.2668971775,-0.091041603,-0.356411879,0.9343289425,0.8994052516,0.4371157667
1990,10,1652.1,7.4098024849,0.1429053075,-0.556875616,-0.830595899,-0.999684189,-0.025130095
1990,11,1367.9,7.2210319961,-0.188770489,0.9996841893,0.0251300954,0.9202318474,-0.391373667
1990,12,1126.2,7.0266044128,-0.194427583,-0.597904983,0.8015669849,-0.675332808,0.7375131174
