yrmon,month,feb44,dec44,jan45,sep45,madv,msales,madvl1,madvl2,madvl3,madvl4,msalesl1,msalesl2,msalesl3,msalesl4,c220,s220,c348,s348,c432,s432
3801,1,0,0,0,0,78000,108500,60800,91200,106700,113100,78200,102000,114600,114900,0.1873813146,0.9822872507,-0.577572703,0.8163392507,-0.910105971,0.414375581
3802,2,0,0,0,0,83900,123000,78000,60800,91200,106700,108500,78200,102000,114600,-0.929776486,0.3681245527,-0.332819545,-0.942990536,0.6565857558,-0.754251381
3803,3,0,0,0,0,95300,149800,83900,78000,60800,91200,123000,108500,78200,102000,-0.535826795,-0.844327926,0.9620276716,0.2729519355,-0.285019262,0.958521789
3804,4,0,0,0,0,88400,136500,95300,83900,78000,60800,149800,123000,108500,78200,0.7289686274,-0.684547106,-0.778462302,0.6276913613,-0.137790291,-0.990461426
3805,5,0,0,0,0,47300,127400,88400,95300,83900,78000,136500,149800,123000,108500,0.8090169944,0.5877852523,-0.06279052,-0.998026728,0.535826795,0.8443279255
3806,6,0,0,0,0,32300,100300,47300,88400,95300,83900,127400,136500,149800,123000,-0.425779292,0.9048270525,0.8509944818,0.52517463,-0.83752804,-0.546394347
3807,7,0,0,0,0,23400,94500,32300,47300,88400,95300,100300,127400,136500,149800,-0.968583161,-0.248689887,-0.920231847,0.3913736668,0.9886517447,0.1502255891
3808,8,0,0,0,0,45600,111100,23400,32300,47300,88400,94500,100300,127400,136500,0.0627905195,-0.998026728,0.2120071099,-0.977268124,-0.962027672,0.2729519355
3809,9,0,0,0,0,73800,133800,45600,23400,32300,47300,111100,94500,100300,127400,0.9921147013,-0.125333234,0.6753328081,0.7375131174,0.762442511,-0.647055962
3810,10,0,0,0,0,85500,158900,73800,45600,23400,32300,133800,111100,94500,100300,0.3090169944,0.9510565163,-0.992114701,0.1253332336,-0.425779292,0.9048270525
3811,11,0,0,0,0,65500,138800,85500,73800,45600,23400,158900,133800,111100,94500,-0.87630668,0.4817536741,0.4707039322,-0.882291226,0.0125660399,-0.999921044
3812,12,0,0,0,0,26000,90000,65500,85500,73800,45600,138800,158900,133800,111100,-0.63742399,-0.770513243,0.4483832161,0.8938414242,0.4029064357,0.9152411726
3901,1,0,0,0,0,60600,124000,26000,65500,85500,73800,90000,138800,158900,133800,0.6374239897,-0.770513243,-0.988651745,-0.150225589,-0.745941145,-0.666011867
3902,2,0,0,0,0,77800,115600,60600,26000,65500,85500,124000,90000,138800,158900,0.87630668,0.4817536741,0.6936533058,-0.720309025,0.9548645447,0.2970415816
3903,3,0,0,0,0,76300,143300,77800,60600,26000,65500,115600,124000,90000,138800,-0.309016994,0.9510565163,0.1873813146,0.9822872507,-0.992114701,0.1253332336
3904,4,0,0,0,0,113100,135500,76300,77800,60600,26000,143300,115600,124000,90000,-0.992114701,-0.125333234,-0.910105971,-0.414375581,0.8509944818,-0.52517463
3905,5,0,0,0,0,66000,130700,113100,76300,77800,60600,135500,143300,115600,124000,-0.06279052,-0.998026728,0.8639234172,-0.503623202,-0.556875616,0.8305958992
3906,6,0,0,0,0,46200,102700,66000,113100,76300,77800,130700,135500,143300,115600,0.9685831611,-0.248689887,-0.087851197,0.9961336091,0.1626371652,-0.986685944
3907,7,0,0,0,0,25100,103100,46200,66000,113100,76300,102700,130700,135500,143300,0.4257792916,0.9048270525,-0.762442511,-0.647055962,0.2608415063,0.9653816388
3908,8,0,0,0,0,27800,107900,25100,46200,66000,113100,103100,102700,130700,135500,-0.809016994,0.5877852523,0.9685831611,-0.248689887,-0.63742399,-0.770513243
3909,9,0,0,0,0,90100,117900,27800,25100,46200,66000,107900,103100,102700,130700,-0.728968627,-0.684547106,-0.356411879,0.9343289425,0.8994052516,0.4371157667
3910,10,0,0,0,0,90100,138900,90100,27800,25100,46200,117900,107900,103100,102700,0.535826795,-0.844327926,-0.556875616,-0.830595899,-0.999684189,-0.025130095
3911,11,0,0,0,0,45800,111000,90100,90100,27800,25100,138900,117900,107900,103100,0.9297764859,0.3681245527,0.9996841893,0.0251300954,0.9202318474,-0.391373667
3912,12,0,0,0,0,29800,92800,45800,90100,90100,27800,111000,138900,117900,107900,-0.187381315,0.9822872507,-0.597904983,0.8015669849,-0.675332808,0.7375131174
4001,1,0,0,0,0,55500,117800,29800,45800,90100,90100,92800,111000,138900,117900,-1,4.899825e-15,-0.309016994,-0.951056516,0.3090169944,-0.951056516
4002,2,0,0,0,0,6000,119100,55500,29800,45800,90100,117800,92800,111000,138900,-0.187381315,-0.982287251,0.9548645447,0.2970415816,0.1128563849,0.9936113105
4003,3,0,0,0,0,97800,124800,6000,55500,29800,45800,119100,117800,92800,111000,0.9297764859,-0.368124553,-0.793990399,0.6079302977,-0.514439534,-0.857526656
4004,4,0,0,0,0,90000,164100,97800,6000,55500,29800,124800,119100,117800,92800,0.535826795,0.8443279255,-0.037690183,-0.999289473,0.8235325976,0.5672689491
4005,5,0,0,0,0,75100,172200,90000,97800,6000,55500,164100,124800,119100,117800,-0.728968627,0.6845471059,0.83752804,0.5463943467,-0.984564335,-0.175023059
4006,6,0,0,0,0,74300,136400,75100,90000,97800,6000,172200,164100,124800,119100,-0.809016994,-0.587785252,-0.929776486,0.3681245527,0.9685831611,-0.248689887
